city,ft,bt,km,transmission,owner,oem,modelYear,price,Insurance Validity,Mileage
Bangalore,Petrol,Hatchback,120000,Manual,3rd Owner,Maruti,2015,400000,Third Party,23.1
Bangalore,Petrol,SUV,32706,Manual,2nd Owner,Ford,2018,811000,Comprehensive,17
Bangalore,Petrol,Hatchback,11949,Manual,1st Owner,Tata,2018,585000,Comprehensive,23.84
Bangalore,Petrol,Sedan,17794,Manual,1st Owner,Hyundai,2014,462000,Comprehensive,19.1
Bangalore,Diesel,SUV,60000,Manual,1st Owner,Maruti,2015,790000,Third Party,23.65
Bangalore,Diesel,SUV,20000,Manual,1st Owner,Jeep,2020,1900000,Third Party,17.1
Bangalore,Petrol,Hatchback,37772,Manual,1st Owner,Datsun,2017,345000,Comprehensive,20.63
Bangalore,Petrol,SUV,30000,Automatic,1st Owner,Hyundai,2021,1200000,Third Party,18.15
Bangalore,Petrol,Sedan,37000,Automatic,1st Owner,Maruti,2018,960000,Comprehensive,20.28
Bangalore,Petrol,Hatchback,11949,Manual,1st Owner,Tata,2017,585000,Comprehensive,23.84
Bangalore,Petrol,Hatchback,50000,Manual,1st Owner,Maruti,2018,690000,Third Party,21.4
Bangalore,Petrol,Hatchback,24887,Automatic,1st Owner,Hyundai,2019,682000,Third Party,18.9
Bangalore,Petrol,Hatchback,23000,Automatic,1st Owner,Honda,2018,825000,Comprehensive,18.2
Bangalore,Petrol,Hatchback,48928,Automatic,1st Owner,Tata,2018,595000,Comprehensive,23.84
Bangalore,Diesel,SUV,108862,Manual,3rd Owner,Mahindra,2014,690000,Comprehensive,15.1
Bangalore,Diesel,SUV,80000,Manual,1st Owner,Jeep,2018,1350000,Third Party,17.1
Bangalore,Diesel,SUV,16000,Automatic,1st Owner,Mercedes-Benz,2022,5595000,Comprehensive,16.53
Bangalore,Diesel,Hatchback,65376,Manual,2nd Owner,Hyundai,2014,521000,Comprehensive,21.27
Bangalore,Petrol,SUV,10000,Manual,1st Owner,Tata,2022,1005000,Third Party,17.33
Bangalore,Petrol,Sedan,67000,Manual,2nd Owner,Honda,2016,775000,Comprehensive,17.8
Bangalore,Diesel,Sedan,100000,Automatic,3rd Owner,BMW,2011,2200000,Third Party,18.48
Bangalore,Petrol,Hatchback,18083,Manual,1st Owner,Maruti,2016,582000,Comprehensive,22.38
Bangalore,Petrol,SUV,30000,Manual,1st Owner,Renault,2020,1090000,Third Party,16.42
Bangalore,Petrol,Hatchback,57634,Manual,2nd Owner,Tata,2016,457000,Comprehensive,23.84
Bangalore,Petrol,Sedan,50000,Automatic,2nd Owner,Mercedes-Benz,2016,4900000,Third Party,7.81
Bangalore,Petrol,Sedan,110000,Manual,1st Owner,Honda,2015,550000,Third Party,17.4
Bangalore,Petrol,Hatchback,23447,Automatic,1st Owner,Hyundai,2018,570000,Comprehensive,20.3
Bangalore,Lpg,Hatchback,30000,Manual,2nd Owner,Hyundai,2009,220000,Third Party,13.45
Bangalore,Petrol,Sedan,33000,Automatic,1st Owner,Mercedes-Benz,2017,4145000,Comprehensive,15
Bangalore,Diesel,SUV,87667,Manual,2nd Owner,Mahindra,2014,861000,Third Party,15.1
Bangalore,Diesel,Sedan,40000,Automatic,2nd Owner,Audi,2016,1785000,Third Party,17.11
Bangalore,Diesel,SUV,79012,Manual,2nd Owner,Mahindra,2014,803000,Comprehensive,15.1
Bangalore,Diesel,SUV,31344,Manual,1st Owner,Jeep,2021,2565000,Comprehensive,17.1
Bangalore,Petrol,Sedan,50000,Manual,1st Owner,Hyundai,2018,674000,Third Party,20.14
Bangalore,Petrol,Hatchback,12434,Manual,1st Owner,Maruti,2015,349000,Comprehensive,20.51
Bangalore,Petrol,MUV,60000,Manual,2nd Owner,Maruti,2019,1050000,Third Party,19.34
Bangalore,Diesel,Sedan,12000,Automatic,1st Owner,Mercedes-Benz,2019,4425000,Comprehensive,12.6
Bangalore,Petrol,Hatchback,40987,Manual,2nd Owner,Maruti,2015,406000,Comprehensive,20.51
Bangalore,Petrol,Sedan,18157,Automatic,1st Owner,BMW,2020,4965000,Zero Dep,15.56
Bangalore,Diesel,SUV,120000,Manual,3rd Owner,Toyota,2011,1100000,Third Party,11.5
Bangalore,Diesel,SUV,40000,Automatic,2nd Owner,Renault,2020,1100000,Third Party,19.87
Bangalore,Petrol,Hatchback,89667,Manual,1st Owner,Hyundai,2016,594000,Comprehensive,18.6
Bangalore,Diesel,Hatchback,120000,Manual,1st Owner,Hyundai,2017,710000,Third Party,22.54
Bangalore,Petrol,Hatchback,56997,Manual,1st Owner,Maruti,2017,692000,Zero Dep,21.4
Bangalore,Petrol,Sedan,120000,Manual,1st Owner,Hyundai,2013,650000,Third Party,16.3
Bangalore,Diesel,Sedan,59000,Automatic,1st Owner,Audi,2015,2090000,Third Party,18.53
Bangalore,Petrol,Hatchback,18835,Manual,1st Owner,Maruti,2021,411000,Zero Dep,22.05
Bangalore,Diesel,SUV,120000,Manual,2nd Owner,Mahindra,2010,650000,Third Party,12.05
Bangalore,Petrol,Hatchback,40000,Automatic,1st Owner,Mini,2016,3675000,Comprehensive,17.33
Bangalore,Petrol,Hatchback,60932,Manual,1st Owner,Tata,2019,610000,Comprehensive,23.84
Bangalore,Petrol,SUV,33539,Automatic,2nd Owner,Kia,2020,1675000,Comprehensive,16.5
Bangalore,Petrol,Hatchback,66837,Manual,2nd Owner,Tata,2018,530000,Comprehensive,23.84
Bangalore,Diesel,Sedan,400,Automatic,1st Owner,Mercedes-Benz,2022,7990000,Third Party,21.27
Bangalore,Petrol,Hatchback,60000,Manual,2nd Owner,Maruti,2008,250000,Third Party,19.7
Bangalore,Petrol,Hatchback,44285,Manual,1st Owner,Hyundai,2019,715000,Third Party,18.6
Bangalore,Diesel,SUV,100000,Automatic,2nd Owner,Mercedes-Benz,2014,3500000,Third Party,11.3
Bangalore,Diesel,SUV,25000,Automatic,1st Owner,Tata,2021,2250000,Comprehensive,14.08
Bangalore,Petrol,Hatchback,36735,Manual,1st Owner,Hyundai,2018,625000,Comprehensive,18.9
Bangalore,Diesel,SUV,79000,Automatic,1st Owner,Audi,2015,2695000,Comprehensive,12.07
Bangalore,Diesel,SUV,120000,Manual,2nd Owner,Mahindra,2010,650000,Third Party,12.05
Bangalore,Petrol,Hatchback,10000,Automatic,1st Owner,Renault,2022,550000,Third Party,22
Bangalore,Diesel,SUV,53645,Manual,1st Owner,Tata,2018,825000,Comprehensive,21.5
Bangalore,Petrol,Hatchback,100000,Manual,2nd Owner,Hyundai,2006,220000,Third Party,15.3
Bangalore,Petrol,Hatchback,53982,Automatic,1st Owner,Maruti,2014,428000,Comprehensive,26.68
Bangalore,Diesel,Sedan,110000,Manual,1st Owner,Skoda,2014,695000,Third Party,21.14
Bangalore,Petrol,SUV,37741,Manual,2nd Owner,Ford,2019,930000,Third Party,15.9
Bangalore,Petrol,Hatchback,17367,Manual,1st Owner,Maruti,2021,455000,Comprehensive,22.05
Bangalore,Diesel,SUV,94000,Manual,1st Owner,Hyundai,2017,1195000,Comprehensive,19.67
