city,it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,Features,Comfort & Convenience,Interior,Exterior,Safety,Mileage,Engine,Torque,Seats or Wheel Size,Color,Engine Type,Displacement,Fuel Suppy System,Gear Box,car_links,Max_Torque,Max_power,RPM
Bangalore,0,Petrol,Hatchback,120000,Manual,3,3,Maruti,Maruti Celerio,2015,3979,VXI,4,2015,Third Party insurance,Petrol,5 Seats,120000,KA51,Third Owner,998,Manual,2015,8,10,7,5,13,23.1 kmpl,998 CC,3500rpm,5,White,K10B Engine,998,MPFi,5 Speed ,https://www.cardekho.com/used-car-details/used-Maruti-Celerio-Vxi-cars-Bangalore_a12b21b4-e26a-41bf-8f47-7e79a725a246.htm,90Nm,67.04bhp,6000rpm
Bangalore,0,Petrol,SUV,32706,Manual,2,2,Ford,Ford Ecosport,2018,6087,1.5 Petrol Titanium BSIV,8.11,18-Feb,Comprehensive,Petrol,5 Seats,32706,KA05,Second Owner,1497,Manual,2018,8,10,7,5,13,17 kmpl,1497 CC,4500rpm,16,White,Ti-VCT Petrol Engine,1497,Direct Injection,5 Speed,https://www.cardekho.com/buy-used-car-details/used-Ford-Ecosport-1.5-Petrol-Titanium-Bsiv-cars-Bangalore_d88ffc79-1d90-405c-a944-051888866d13.htm,150Nm,121.31bhp,6500rpm
Bangalore,0,Petrol,Hatchback,11949,Manual,1,1,Tata,Tata Tiago,2018,2983,1.2 Revotron XZ,5.85,18-Sep,Comprehensive,Petrol,5 Seats,11949,KA03,First Owner,1199,Manual,2018,8,10,7,5,13,23.84 kmpl,1199 CC,3500rpm,14,Red,Revotron Engine,1199,MPFi,5 Speed,https://www.cardekho.com/used-car-details/used-Tata-Tiago-1.2-Revotron-Xz-cars-Bangalore_8554c91f-7b6e-417d-aeca-b8c5ac6794a5.htm,114Nm,84bhp,6000rpm
Bangalore,0,Petrol,Sedan,17794,Manual,1,1,Hyundai,Hyundai Xcent,2014,1867,1.2 Kappa S Option,4.62,14-Dec,Comprehensive,Petrol,5 Seats,17794,KA53,First Owner,1197,Manual,2014,8,10,7,5,13,19.1 kmpl,1197 CC,4000rpm,14,Others,Kappa VTVT Petrol Engine,1197,Direct Injection,5 Speed ,https://www.cardekho.com/buy-used-car-details/used-Hyundai-Xcent-1.2-Kappa-S-Option-cars-Bangalore_fc261f01-eeee-4f1b-bc45-e291d52fdda8.htm,113.75Nm,81.86bhp,6000rpm
Bangalore,0,Diesel,SUV,60000,Manual,1,1,Maruti,Maruti SX4 S Cross,2015,4277,DDiS 200 Zeta,7.9,2015,Third Party insurance,Diesel,5 Seats,60000,KA04,First Owner,1248,Manual,2015,8,10,7,5,13,23.65 kmpl,1248 CC,1750rpm,16,Gray,DDiS 200 Diesel Engine,1248,69.6 x 82 mm,5 Speed,https://www.cardekho.com/used-car-details/used-Maruti-Sx4-S-Cross-Ddis-200-Zeta-cars-Bangalore_93f9db43-24a0-46d2-abd9-7450d04c0544.htm,200Nm,88.5bhp,4000rpm
Bangalore,0,Diesel,SUV,20000,Manual,1,1,Jeep,Jeep Compass,2020,5931,2.0 Longitude BSIV,19,2020,Third Party insurance,Diesel,5 Seats,20000,KA04,First Owner,1956,Manual,2020,8,10,7,5,13,17.1 kmpl,1956 CC,1750-2500rpm,17,Others,2.0-Litre 4-Cyl Multijet II Engine,1956,CRDI,6 Speed,https://www.cardekho.com/used-car-details/used-Jeep-Compass-2.0-Longitude-Bsiv-cars-Bangalore_91fc45f5-5207-4884-95d1-ce3fe163f05d.htm,350Nm,170bhp,3750rpm
Bangalore,0,Petrol,Hatchback,37772,Manual,1,1,Datsun,Datsun GO,2017,5223,T Option BSIV,3.45,17-Aug,Comprehensive,Petrol,5 Seats,37772,KA05,First Owner,1198,Manual,2017,8,10,7,5,13,20.63 kmpl,1198 CC,4000rpm,5,Grey,Petrol Engine,1198,Electronic Injection System,5 Speed,https://www.cardekho.com/buy-used-car-details/used-Datsun-Go-T-Option-Bsiv-cars-Bangalore_fdb5aa41-2b55-4e04-bb54-ba327efd8902.htm,104Nm,67bhp,5000rpm
Bangalore,0,Petrol,Sedan,37000,Automatic,1,1,Maruti,Maruti Ciaz,2018,6555,Alpha Automatic BSIV,9.6,18-Aug,Comprehensive,Petrol,5 Seats,37000,KA03,First Owner,1462,Automatic,2018,8,10,7,5,13,20.28 kmpl,1462 CC,4400rpm,16,Maroon,k15B VVT Engine,1462,MPFI,4 Speed,https://www.cardekho.com/used-car-details/used-Maruti-Ciaz-Alpha-Automatic-Bsiv-cars-Bangalore_35ce3a3d-46b2-477e-80bc-525323769cd9.htm,138Nm,103.25bhp,6000rpm
Bangalore,0,Petrol,Hatchback,11949,Manual,1,1,Tata,Tata Tiago,2017,2985,1.2 Revotron XZ WO Alloy,5.85,18-Jan,Comprehensive,Petrol,5 Seats,11949,KA03,First Owner,1199,Manual,2017,8,10,7,5,13,23.84 kmpl,1199 CC,3500rpm,5,Red,Revotron Engine,1199,MPFi,5 Speed,https://www.cardekho.com/buy-used-car-details/used-Tata-Tiago-1.2-Revotron-Xz-Wo-Alloy-cars-Bangalore_ce733b70-4d58-41e3-be21-57b3817a3f24.htm,114Nm,84bhp,6000rpm
Bangalore,0,Petrol,Hatchback,24887,Automatic,1,1,Hyundai,Hyundai Grand i10,2019,5606,1.2 Kappa Sportz Option AT,6.82,19-May,Third Party insurance,Petrol,5 Seats,24887,KA51,First Owner,1197,Automatic,2019,8,10,7,5,13,18.9 kmpl,1197 CC,4000rpm,14,Orange,Kappa VTVT Petrol Engine,1197,MPFI,4 Speed,https://www.cardekho.com/buy-used-car-details/used-Hyundai-Grand-I10-1.2-Kappa-Sportz-Option-At-cars-Bangalore_2ae96dd1-4f78-4741-8fe0-407f04e77d9e.htm,113.75nm,81.86bhp,6000rpm
